Year,Month,GDP
2022,10,8802.801666666666
2022,11,8802.801666666666
2022,12,8802.801666666666
2023,1,8937.867
2023,2,8937.867
2023,3,8937.867
2023,4,9021.003999999999
2023,5,9021.003999999999
2023,6,9021.003999999999
2023,7,9203.376
2023,8,9203.376
2023,9,9203.376
2023,10,9318.999333333333
2023,11,9318.999333333333
2023,12,9318.999333333333
