date,state,sex,age,ethnicity,population
1991-01-01,Malaysia,female,10-14,chinese,260.0
1991-01-01,Malaysia,female,10-14,bumi_other,110.3
1991-01-01,Malaysia,female,15-19,other_citizen,9.9
1991-01-01,Malaysia,female,25-29,other_citizen,6.9
1991-01-01,Malaysia,overall_sex,15-19,other_noncitizen,76.1
1991-01-01,Malaysia,overall_sex,20-24,bumi_other,182.1
1991-01-01,Malaysia,overall_sex,40-44,chinese,324.5
1991-01-01,Malaysia,overall_sex,40-44,indian,79.6
1991-01-01,Malaysia,overall_sex,40-44,other_citizen,10.5
1991-01-01,Malaysia,overall_sex,40-44,other_noncitizen,38.099999999999994
1991-01-01,Malaysia,overall_sex,45-49,bumi_malay,327.70000000000005
1991-01-01,Malaysia,overall_sex,45-49,bumi_other,62.5
1991-01-01,Malaysia,overall_sex,45-49,chinese,250.0
1991-01-01,Malaysia,overall_sex,45-49,indian,51.8
1991-01-01,Malaysia,overall_sex,45-49,other_citizen,8.600000000000001
1991-01-01,Malaysia,overall_sex,45-49,other_noncitizen,24.5
1991-01-01,Malaysia,overall_sex,5-9,bumi_malay,1305.5
1991-01-01,Malaysia,overall_sex,5-9,bumi_other,260.7
1991-01-01,Malaysia,overall_sex,5-9,chinese,543.0
1991-01-01,Malaysia,overall_sex,5-9,indian,165.1
1991-01-01,Malaysia,overall_sex,5-9,other_citizen,28.2
1991-01-01,Malaysia,overall_sex,5-9,other_noncitizen,61.1
1991-01-01,Malaysia,overall_sex,50-54,bumi_malay,277.2
1991-01-01,Malaysia,overall_sex,50-54,bumi_other,53.1
1991-01-01,Malaysia,overall_sex,50-54,chinese,211.6
1991-01-01,Malaysia,overall_sex,40-44,bumi_other,75.19999999999999
1991-01-01,Malaysia,overall_sex,40-44,bumi_malay,437.79999999999995
1991-01-01,Malaysia,overall_sex,35-39,other_noncitizen,60.8
1991-01-01,Malaysia,overall_sex,35-39,other_citizen,11.7
1991-01-01,Malaysia,overall_sex,20-24,chinese,415.70000000000005
1991-01-01,Malaysia,overall_sex,20-24,indian,127.3
1991-01-01,Malaysia,overall_sex,20-24,other_citizen,15.0
1991-01-01,Malaysia,overall_sex,20-24,other_noncitizen,135.8
1991-01-01,Malaysia,overall_sex,25-29,bumi_malay,761.2
1991-01-01,Malaysia,overall_sex,25-29,bumi_other,157.8
1991-01-01,Malaysia,overall_sex,25-29,chinese,418.0
1991-01-01,Malaysia,overall_sex,25-29,indian,130.8
1991-01-01,Malaysia,overall_sex,25-29,other_citizen,12.600000000000001
1991-01-01,Malaysia,overall_sex,20-24,bumi_malay,807.7
1991-01-01,Malaysia,overall_sex,25-29,other_noncitizen,142.4
1991-01-01,Malaysia,overall_sex,30-34,bumi_other,127.3
1991-01-01,Malaysia,overall_sex,30-34,chinese,415.20000000000005
1991-01-01,Malaysia,overall_sex,30-34,indian,124.4
1991-01-01,Malaysia,overall_sex,30-34,other_citizen,12.9
1991-01-01,Malaysia,overall_sex,30-34,other_noncitizen,96.0
1991-01-01,Malaysia,overall_sex,35-39,bumi_malay,564.2
1991-01-01,Malaysia,overall_sex,35-39,bumi_other,96.6
1991-01-01,Malaysia,overall_sex,35-39,chinese,378.3
1991-01-01,Malaysia,overall_sex,35-39,indian,103.6
1991-01-01,Malaysia,overall_sex,30-34,bumi_malay,681.3
1991-01-01,Malaysia,male,85+,other_noncitizen,0.4
1991-01-01,Malaysia,male,5-9,indian,84.7
1991-01-01,Malaysia,female,overall_age,overall_ethnicity,9130.7
1991-01-01,Malaysia,overall_sex,85+,overall_ethnicity,45.599999999999994
1991-01-01,Malaysia,overall_sex,80-84,overall_ethnicity,72.7
1991-01-01,Malaysia,overall_sex,75-79,overall_ethnicity,107.9
1991-01-01,Malaysia,overall_sex,70-74,overall_ethnicity,183.5
1991-01-01,Malaysia,overall_sex,65-69,overall_ethnicity,266.2
1991-01-01,Malaysia,overall_sex,60-64,overall_ethnicity,370.9
1991-01-01,Malaysia,overall_sex,50-54,overall_ethnicity,610.8
1991-01-01,Malaysia,overall_sex,5-9,overall_ethnicity,2363.5
1991-01-01,Malaysia,overall_sex,45-49,overall_ethnicity,725.2
1991-01-01,Malaysia,overall_sex,40-44,overall_ethnicity,965.5999999999999
1991-01-01,Malaysia,overall_sex,35-39,overall_ethnicity,1215.1
1991-01-01,Malaysia,overall_sex,30-34,overall_ethnicity,1457.0
1991-01-01,Malaysia,overall_sex,25-29,overall_ethnicity,1622.8
1991-01-01,Malaysia,overall_sex,20-24,overall_ethnicity,1683.6
1991-01-01,Malaysia,overall_sex,15-19,overall_ethnicity,1833.4
1991-01-01,Malaysia,overall_sex,10-14,overall_ethnicity,2032.3
1991-01-01,Malaysia,overall_sex,0-4,overall_ethnicity,2504.1
1991-01-01,Malaysia,overall_sex,overall_age,other_noncitizen,803.0
1991-01-01,Malaysia,overall_sex,overall_age,other_citizen,194.7
1991-01-01,Malaysia,overall_sex,55-59,overall_ethnicity,487.0
1991-01-01,Malaysia,overall_sex,overall_age,chinese,5020.9
1991-01-01,Malaysia,overall_sex,overall_age,bumi_other,1862.7
1991-01-01,Malaysia,overall_sex,overall_age,bumi_malay,9259.4
1991-01-01,Malaysia,overall_sex,overall_age,indian,1406.5
1992-01-01,Malaysia,overall_sex,35-39,other_citizen,12.2
1992-01-01,Malaysia,overall_sex,35-39,indian,109.30000000000001
1992-01-01,Malaysia,overall_sex,35-39,chinese,390.9
1992-01-01,Malaysia,overall_sex,35-39,bumi_other,102.9
1992-01-01,Malaysia,overall_sex,35-39,bumi_malay,589.5
1992-01-01,Malaysia,overall_sex,30-34,other_noncitizen,107.0
1992-01-01,Malaysia,overall_sex,30-34,other_citizen,13.2
1992-01-01,Malaysia,overall_sex,30-34,indian,126.6
1992-01-01,Malaysia,overall_sex,30-34,bumi_other,135.8
1992-01-01,Malaysia,overall_sex,30-34,bumi_malay,702.0
1992-01-01,Malaysia,overall_sex,25-29,other_noncitizen,145.0
1992-01-01,Malaysia,overall_sex,25-29,other_citizen,13.3
1992-01-01,Malaysia,overall_sex,25-29,indian,130.7
1992-01-01,Malaysia,overall_sex,25-29,chinese,421.1
1992-01-01,Malaysia,overall_sex,25-29,bumi_other,164.7
1992-01-01,Malaysia,overall_sex,25-29,bumi_malay,773.0
1992-01-01,Malaysia,overall_sex,20-24,other_noncitizen,134.9
1992-01-01,Malaysia,overall_sex,30-34,chinese,419.1
1992-01-01,Malaysia,overall_sex,35-39,other_noncitizen,67.6
1992-01-01,Malaysia,overall_sex,5-9,other_noncitizen,64.6
1992-01-01,Malaysia,overall_sex,5-9,other_citizen,29.2
1992-01-01,Malaysia,overall_sex,40-44,indian,83.6
1992-01-01,Malaysia,overall_sex,40-44,chinese,335.7
1992-01-01,Malaysia,overall_sex,40-44,bumi_other,79.30000000000001
1992-01-01,Malaysia,overall_sex,40-44,bumi_malay,462.8
1992-01-01,Malaysia,overall_sex,40-44,other_citizen,10.5
1992-01-01,Malaysia,overall_sex,40-44,other_noncitizen,41.8
1992-01-01,Malaysia,overall_sex,45-49,bumi_malay,345.20000000000005
1992-01-01,Malaysia,overall_sex,45-49,bumi_other,64.6
1992-01-01,Malaysia,overall_sex,20-24,other_citizen,16.1
1992-01-01,Malaysia,overall_sex,45-49,chinese,262.1
1992-01-01,Malaysia,overall_sex,45-49,indian,55.900000000000006
1992-01-01,Malaysia,overall_sex,45-49,other_citizen,8.600000000000001
1992-01-01,Malaysia,overall_sex,45-49,other_noncitizen,26.1
1992-01-01,Malaysia,overall_sex,5-9,bumi_malay,1352.1
1992-01-01,Malaysia,overall_sex,5-9,bumi_other,271.1
1992-01-01,Malaysia,overall_sex,5-9,chinese,527.5
1992-01-01,Malaysia,overall_sex,5-9,indian,167.8
1992-01-01,Malaysia,overall_sex,50-54,bumi_malay,281.4
1992-01-01,Malaysia,overall_sex,20-24,indian,129.7
1992-01-01,Malaysia,overall_sex,10-14,chinese,533.4
1992-01-01,Malaysia,overall_sex,20-24,bumi_other,188.1
1992-01-01,Malaysia,overall_sex,15-19,overall_ethnicity,1887.6
1992-01-01,Malaysia,overall_sex,20-24,overall_ethnicity,1718.8
1992-01-01,Malaysia,overall_sex,25-29,overall_ethnicity,1647.6999999999998
1992-01-01,Malaysia,overall_sex,30-34,overall_ethnicity,1503.5
1992-01-01,Malaysia,overall_sex,35-39,overall_ethnicity,1272.5
1992-01-01,Malaysia,overall_sex,40-44,overall_ethnicity,1013.7
1992-01-01,Malaysia,overall_sex,45-49,overall_ethnicity,762.5999999999999
1992-01-01,Malaysia,overall_sex,5-9,overall_ethnicity,2412.2
